datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
23.02.2025;Bundestagswahl;14713000;0019;0019;1;1;712;502;0;1214;514;7;0;514;0;514;109;116;40;51;102;86;18;30;174;120;45;72;2;2;;2;4;3;;0;;3;1;0;;0;1;0;18;29;;;;;;
23.02.2025;Bundestagswahl;14713000;0109;0109;1;1;644;441;0;1085;513;8;2;511;1;512;71;76;44;59;82;68;10;24;212;140;63;94;3;3;;3;7;5;;0;;8;1;1;;0;1;1;17;30;;;;;;
23.02.2025;Bundestagswahl;14713000;0111;0111;1;1;617;430;0;1047;446;5;2;444;2;444;79;81;43;60;76;75;13;19;155;94;46;69;5;3;;3;4;4;;0;;2;0;0;;1;0;0;23;33;;;;;;
23.02.2025;Bundestagswahl;14713000;0119;0119;1;1;747;456;0;1203;585;6;1;584;1;584;112;116;59;75;108;95;27;39;185;111;51;85;9;7;;4;3;2;;3;;7;1;1;;0;2;2;27;37;;;;;;
23.02.2025;Bundestagswahl;14713000;0121;0121;1;1;660;523;0;1183;535;3;2;533;1;534;87;91;34;36;103;87;17;35;196;134;68;97;4;3;;3;4;5;;1;;9;0;0;;1;1;0;19;32;;;;;;
23.02.2025;Bundestagswahl;14713000;0201;0201;1;1;696;454;0;1150;562;6;7;555;4;558;93;93;40;72;66;70;12;13;272;167;48;96;2;4;;5;5;2;;1;;6;0;0;;0;0;0;17;29;;;;;;
23.02.2025;Bundestagswahl;14713000;0209;0209;1;1;782;533;0;1315;574;9;2;572;4;570;107;107;40;55;89;82;17;26;235;149;46;89;3;0;;6;10;5;;1;;6;0;0;;1;0;0;25;43;;;;;;
23.02.2025;Bundestagswahl;14713000;0212;0212;1;1;655;481;0;1136;487;3;4;483;2;485;77;74;33;38;73;66;14;31;191;144;58;78;3;0;;6;4;2;;1;;5;1;3;;0;0;0;29;37;;;;;;
23.02.2025;Bundestagswahl;14713000;0219;0219;1;1;777;646;0;1423;556;3;2;554;0;556;107;100;47;48;73;72;10;28;220;141;66;105;2;4;;2;3;4;;0;;12;1;2;;0;4;0;21;38;;;;;;
23.02.2025;Bundestagswahl;14713000;0220;0220;1;1;622;247;0;869;466;6;2;464;3;463;143;134;37;54;73;65;5;13;141;109;24;26;4;2;;8;5;2;;0;;2;1;1;;0;0;0;31;47;;;;;;
